allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,Hardness
0.006535947712418301,0.0013086908868031098,0.14925373134328357,0.7999999999999999,0.12313336738351258,0.7272883500450288,0.8033691548068544,0.7697777777777778,0.5322308888679422,0.6005762781631737,0.08337010027347311,6.0
0.006535947712418301,0.011753321146718216,0.14925373134328357,0.7999999999999999,0.12125981262007172,0.7897796181377047,0.8001742666279407,0.7248888888888888,0.5631745451974738,0.5965193283211662,0.06541476754785779,6.5
0.0049673202614379085,0.01381756743983306,0.23283582089552238,0.9333333333333332,0.201548733572282,0.7927620769247419,0.821376706360732,0.7946666666666669,0.5347063813743048,0.5829102047240281,0.13731358249772105,2.5
0.006535947712418301,0.01367653669205351,0.14925373134328357,0.7999999999999999,0.12074879795698928,0.7181317358671004,0.7690967179785071,0.7226666666666666,0.5792652464888303,0.5923461543117955,0.07195715587967183,6.0
0.007581699346405229,0.0148936219691005,0.17313432835820894,0.7999999999999999,0.14927200201911592,0.775588833915679,0.8033691548068544,0.7475555555555555,0.554510321425205,0.5965399096841365,0.16999179580674567,6.0
0.008562091503267973,0.03814269064093073,0.32587064676616906,0.7777777777777778,0.29947132616487465,0.7837038504349719,0.8301868525510697,0.7814814814814816,0.5549229035095988,0.5646416219728246,0.26865268915223334,6.0
0.0032679738562091504,0.005059908806911712,0.14925373134328357,0.7999999999999999,0.11993439665471926,0.7230734214843292,0.7920418239907058,0.7853333333333333,0.5446083513997549,0.6041356432886597,0.07350136736554239,2.0
0.00196078431372549,0.004201172107857201,0.08955223880597014,0.6666666666666666,0.06967471923536442,0.8143771960951893,0.8033691548068544,0.6644444444444445,0.4393999198793477,0.7487893315899709,0.03794986326344576,4.0
0.00784313725490196,0.02275251280663288,0.1791044776119403,0.7999999999999999,0.14819903225806455,0.743274381616982,0.8335753703165844,0.7637777777777778,0.5631745451974738,0.5965399096841365,0.17891340018231539,6.0
0.0063398692810457515,0.02095701735368999,0.1912313432835821,0.8333333333333334,0.14927200201463564,0.723948088032056,0.8186900958466454,0.7116666666666667,0.5453819428079931,0.5970925798133149,0.1010838650865998,5.8
0.004705882352941176,0.010415264403958761,0.11940298507462686,0.7666666666666666,0.10072961768219835,0.7739083722019361,0.7690967179785071,0.7226666666666666,0.5644122914506551,0.6041041659099989,0.06775022789425705,6.0
0.008888888888888889,0.012609868040813738,0.16417910447761194,0.7222222222222222,0.13553675826364,0.844446769309076,0.623487268854681,0.7614814814814816,0.5693632764633801,0.6042133278449698,0.06890154968094804,5.5
