id,Hardness
10407,2.7256072
10408,4.6245255
10409,5.9135904
10410,5.2931013
10411,5.6062627
10412,4.6841497
10413,3.929708
10414,5.9185247
10415,3.6182308
10416,5.302083
10417,3.9897158
10418,3.973743
10419,6.072163
10420,3.8148637
10421,5.9058604
10422,5.2172165
10423,5.42467
10424,5.537345
10425,5.5676403
10426,4.504469
10427,2.924519
10428,5.009224
10429,5.647414
10430,3.5039625
10431,3.5829055
10432,5.6390696
10433,5.939516
10434,5.6802444
10435,6.0043736
10436,5.879409
10437,5.8223133
10438,6.0444503
10439,5.860822
10440,3.9963465
10441,3.0811
10442,3.4897451
10443,2.3303647
10444,3.9882638
10445,5.3991923
10446,3.4282985
10447,5.591982
10448,5.873361
10449,5.1377363
10450,5.950127
10451,5.6262684
10452,3.2134118
10453,5.3315673
10454,5.5747337
10455,3.0320814
10456,3.088632
10457,2.5141532
10458,5.156046
10459,5.6475115
10460,3.3977497
10461,5.8452497
10462,5.7276177
10463,5.982554
10464,5.600445
10465,3.2194717
10466,5.6507664
10467,5.9614215
10468,2.424807
10469,5.860982
10470,5.374113
10471,6.0649204
10472,1.7118084
10473,5.916729
10474,3.7375686
10475,6.0451503
10476,5.1901608
10477,5.860097
10478,4.253414
10479,3.9723759
10480,4.2188616
10481,3.3676066
10482,5.866707
10483,5.983609
10484,1.658078
10485,4.803501
10486,5.014245
10487,2.5723572
10488,5.5523357
10489,4.219227
10490,4.6135907
10491,5.943711
10492,5.2530236
10493,2.6167686
10494,3.5854921
10495,3.2147732
10496,4.469038
10497,5.635215
10498,5.895218
10499,6.000145
10500,4.7125554
10501,2.6565547
10502,5.6401167
10503,4.9167814
10504,5.888999
10505,4.7761917
10506,3.610589
10507,6.0033846
10508,3.5323162
10509,2.5525985
10510,3.7127883
10511,3.545764
10512,5.8841043
10513,6.016406
10514,3.831752
10515,2.391881
10516,3.5491643
10517,5.246725
10518,5.506443
10519,5.936899
10520,5.579631
10521,5.506266
10522,5.428685
10523,4.258643
10524,2.9525359
10525,4.009021
10526,2.64512
10527,5.819337
10528,5.9764967
10529,5.1001945
10530,1.8212138
10531,5.428665
10532,5.564495
10533,5.627674
10534,5.9700317
10535,5.497144
10536,5.2623596
10537,4.3633223
10538,5.8808684
10539,5.598171
10540,2.9186394
10541,2.7984123
10542,4.441899
10543,5.572182
10544,5.6066628
10545,4.38548
10546,5.566143
10547,5.677106
10548,5.185233
10549,4.9066997
10550,5.581974
10551,5.001813
10552,5.8459396
10553,5.5801516
10554,3.799754
10555,4.625866
10556,5.281507
10557,5.924143
10558,5.7478695
10559,3.3400316
10560,2.805496
10561,5.4537306
10562,5.908335
10563,3.5787401
10564,2.8981133
10565,5.451409
10566,3.3622355
10567,4.1120863
10568,3.5227418
10569,5.8550577
10570,5.426873
10571,5.96889
10572,5.8368454
10573,5.060584
10574,2.4813414
10575,5.188841
10576,3.1753817
10577,1.5119388
10578,6.02384
10579,5.95634
10580,3.5764449
10581,5.827338
10582,3.6434743
10583,2.8631756
10584,5.607547
10585,2.4990265
10586,5.4252605
10587,5.9075685
10588,3.1088185
10589,6.000163
10590,3.7545705
10591,6.001932
10592,3.8780699
10593,5.7379723
10594,5.942013
10595,5.787645
10596,4.2433662
10597,5.9878407
10598,5.3524427
10599,5.89706
10600,3.1944592
10601,5.0440445
10602,2.5882254
10603,5.8276567
10604,5.9501066
10605,1.5444305
10606,2.822255
10607,5.908833
10608,5.6275277
10609,5.1472645
10610,5.910169
10611,5.046028
10612,5.8478823
10613,5.867568
10614,5.7922206
10615,5.9854584
10616,6.0195827
10617,5.5961676
10618,2.580439
10619,5.98557
10620,5.9011817
10621,3.738278
10622,4.228342
10623,5.8991337
10624,5.416457
10625,5.977233
10626,5.363806
10627,5.823225
10628,5.774832
10629,5.9047084
10630,2.6041021
10631,5.6658907
10632,5.7463436
10633,2.3660681
10634,4.3657846
10635,3.8819036
10636,5.810891
10637,4.712236
10638,2.449182
10639,5.889918
10640,6.027997
